time_ps,ligand_rmsd_A,mol_id
0.0,0.0,CHEMBL34259_div
10.0,0.4645201,CHEMBL34259_div
20.0,0.32026413,CHEMBL34259_div
30.0,0.4388444,CHEMBL34259_div
40.0,0.43872583,CHEMBL34259_div
50.0,0.6346131,CHEMBL34259_div
60.0,0.7381973,CHEMBL34259_div
70.0,0.79764616,CHEMBL34259_div
80.0,0.5518043,CHEMBL34259_div
90.0,0.53730035,CHEMBL34259_div
100.0,0.70416003,CHEMBL34259_div
110.0,0.3941308,CHEMBL34259_div
120.0,0.5977831,CHEMBL34259_div
130.0,0.4758418,CHEMBL34259_div
140.0,0.5894044,CHEMBL34259_div
150.0,0.55873156,CHEMBL34259_div
160.0,0.5928072,CHEMBL34259_div
170.0,0.5610388,CHEMBL34259_div
180.0,0.4455043,CHEMBL34259_div
190.0,0.47838575,CHEMBL34259_div
