mol_id,frame,E_complex_kJmol,E_receptor_kJmol,E_ligand_kJmol,dG_bind_kJmol,dG_bind_kcalmol
CHEMBL19019_div,0,-23954.075670720278,-24009.373735589095,268.4483161241169,-213.15025125529974,-50.944132709201654
CHEMBL19019_div,4,-23958.67446828576,-23998.520987097352,256.3006595197685,-216.45414070817696,-51.733781240004056
CHEMBL19019_div,9,-24231.23631521657,-24284.180263429575,260.80488696522457,-207.86093875222082,-49.679956680741114
CHEMBL19019_div,14,-24104.413763830813,-24165.224214634687,256.5669254787475,-195.7564746748734,-46.786920333382746
CHEMBL19019_div,19,-23676.05200982485,-23748.10786083835,281.9159879182989,-209.8601369047974,-50.15777650688274
CHEMBL428690_div,0,-23902.87951158579,-24002.951631895434,286.9816916229338,-186.90957131329014,-44.67245968290873
CHEMBL428690_div,4,-24353.62519805348,-24461.51010440933,307.1695967476544,-199.28469039180254,-47.63018412805988
CHEMBL428690_div,9,-24127.803068696627,-24241.368837130998,319.3748145287195,-205.8090460943481,-49.18954256557077
CHEMBL428690_div,14,-23770.786131718713,-23921.430539634857,352.6483974928432,-202.00398957669847,-48.28011223152449
CHEMBL428690_div,19,-23934.398585706393,-24073.049152207237,332.21381828872023,-193.5632517878758,-46.2627274827619
CHEMBL273264_div,0,-17176.808037800838,-20770.30893459549,1639.6494691140297,1953.8514276806227,466.98169877643943
CHEMBL273264_div,4,-17147.37021832625,-20813.02559258203,1752.9905954239857,1912.664778831795,457.1378534492818
CHEMBL273264_div,9,-17404.32131863754,-21070.068555935188,1810.0360757484577,1855.7111615491904,443.5256122249499
CHEMBL273264_div,14,-17216.765618224712,-20939.692387522216,1787.050879305114,1935.8758899923905,462.68544215879314
CHEMBL273264_div,19,-17436.07952939652,-21144.604681501783,1897.7310839362108,1810.7940681690525,432.7901692564657
CHEMBL34259_div,0,-24258.55538234436,-24230.771119359502,204.94749548447726,-232.73175846933373,-55.624225255576896
CHEMBL34259_div,4,-24115.497404971255,-24071.68146840288,184.39067363953586,-228.2066102079109,-54.54268886422344
CHEMBL34259_div,9,-24184.921666471124,-24137.24974429129,171.26498524285307,-218.936907422687,-52.32717672626362
CHEMBL34259_div,14,-24199.853147896858,-24158.162534326817,187.7673451494411,-229.45795871948212,-54.8417683363963
CHEMBL34259_div,19,-23893.27936462043,-23847.904369360876,179.74459733552084,-225.11959259507438,-53.80487394719751
CHEMBL406_div,0,-24022.589481428215,-24052.927632594776,222.3737243703181,-192.03557320375694,-45.89760353818282
CHEMBL406_div,4,-24354.240539579605,-24385.337282776436,223.3819196178465,-192.28517642101542,-45.95726013886602
CHEMBL406_div,9,-23975.102377771593,-23988.089257704436,226.51393278867522,-213.52705285583193,-51.034190453114704
CHEMBL406_div,14,-24218.93047243952,-24257.00476585844,236.4321263352722,-198.35783291635016,-47.40865987484468
CHEMBL406_div,19,-24241.595197069168,-24260.16435369066,235.26958546991915,-216.7004288484273,-51.79264551826656
